id,name,price,category,description,image,available,modifier_groups,tags
8141,"3 Sashimi Daurade, 3 Saumon et bol de riz",11.59,Sashimi,,https://www.sushi-aixsud.com/368-large_default/3-sashimi-thon-3-saumon-et-bol-de-riz.jpg,true,,[]
8143,CHIRASHI MIX TARTARE,15.77,Chirashi,,https://www.sushi-aixsud.com/371-large_default/chirashi-tartare-mix.jpg,true,,[]
8144,CHIRASHI MIX TARTARE SPICY,16.34,Chirashi,,https://www.sushi-aixsud.com/372-large_default/chirashi-tartare-mix-spicy.jpg,true,,[]
8169,Salade de chou - assaisonnement maison,3.61,"Salades, soupes et riz",,https://www.sushi-aixsud.com/694-large_default/hiyashi-ika.jpg,true,,[]
8187,"IKI BEER GINGEMBRE bio 33CL - 5,5 degres",4.47,Boissons alcoolisées,,https://www.sushi-aixsud.com/463-large_default/iki-beer-33cl-45-degres.jpg,true,,"[""mitake""]"
8216,Mochiri Mangue-Passion (à l'unité),2.66,Desserts,,https://www.sushi-aixsud.com/627-large_default/mochiri-framboise-mangue-x1.jpg,true,,[]
8217,Mochiri Mangue-Passion - vendus par 2,4.66,Desserts,,https://www.sushi-aixsud.com/678-large_default/mochiri-framboise-mangue-x2.jpg,true,,[]
8220,Mochiri Thé Vert Matcha Bio x1,2.66,Desserts,,https://www.sushi-aixsud.com/492-large_default/mochiri-the-vert-matcha-bio-x1.jpg,true,,[]
8221,Mochiri Thé Vert Matcha Bio x2,4.66,Desserts,,https://www.sushi-aixsud.com/680-large_default/mochiri-the-vert-matcha-bio-x2.jpg,true,,[]
8224,Mochiri Citron-Yuzu (à l'unité),2.66,Desserts,,https://www.sushi-aixsud.com/496-large_default/mochiri-citron-yuzu-x1.jpg,true,,[]
8236,Supplément avocat pour Chirashi,2.47,Chirashi,,https://www.sushi-aixsud.com/544-large_default/suplement-avocat-pour-chirashi.jpg,true,,[]
8249,Curry Torikatsu,15.39,Plats chauds,,https://www.sushi-aixsud.com/549-large_default/curry-torikatsu.jpg,true,,[]
8250,Curry Ebi Fried,15.39,Plats chauds,,https://www.sushi-aixsud.com/550-large_default/curry-ebi-fried.jpg,true,,[]
8251,Harumaki par 2,3.9,Plats chauds,,https://www.sushi-aixsud.com/551-large_default/harumaki-par-2.jpg,true,,"[""mitake""]"
8258,YAKITORI PLATEAU 4 Tsukune,14.92,Plats chauds,,https://www.sushi-aixsud.com/561-large_default/yakitori-plateau-4-tsukune.jpg,true,,[]
8278,KOROKKE PAR 3,5.04,Plats chauds,,https://www.sushi-aixsud.com/633-large_default/korokke-par-5.jpg,true,,"[""mitake""]"
8365,Ramen tonkotsu cha-shu,15.5,Plats chauds,,https://www.sushi-aixsud.com/852-large_default/ramen-tonkotsu-cha-shu.jpg,true,,"[""mitake""]"
8367,Ramen tonkotsu classic,14,Plats chauds,,https://www.sushi-aixsud.com/853-large_default/ramen-tonkotsu-classic.jpg,true,,"[""mitake""]"
8368,Mazé men (ramen sans bouillon),15,Plats chauds,,https://www.sushi-aixsud.com/854-large_default/maze-men-ramen-sans-bouillon.jpg,true,,"[""mitake""]"
